brand,model,color,line,productGroup,baseTitle
"ASMOKE","AS660N-1","Silver",,,"ASMOKE Wood Pellet Grill and Smoker 700 in Cooking Area 8 1"
"Z GRILLS","ZPG-5502G","Bronze",,,"Z GRILLS 8 in 1 Wood Pellet Grill Smoker for Outdoor BBQ Cooking with Digital Temperature Control Sq"
"A-MAZE-N","8592222","silver",,,
"Megamaster","720-0804H","Black/Silver",,,
"Camp Chef","FTG600",,,,
"Texsport","15110","Black",,,"Heavy Duty Camp Grill"
"TIZZE",,,,,
"BLOSSOMZ","BLZ-39980","Black",,,
"Smoak Firewood","KilnDriedBoxOak24x18x18","Firewood",,,"Smoak Firewood Kiln Dried Premium Oak includes firestarter Logs"
"Char-Broil","463673519P1","Stainless Steel",,,"Char-Broil Performance 2-Burner Cabinet Gas Stainless"
"FireBlack","EU-W07-NKS-W8I","black",,,
"Camp Chef","PG24B","Bronze",,,"Camp Chef Pellet Grill"
"Weber","51169999","Florida State University Maroon",,,"Weber Grill"
"Twin Eagles",,,,,
"Weber","61086001","Deep Ocean Blue",,,
"Magma","A10-104","Multi",,,"Magma Products Marine Kettle Charcoal Grill w Hinged Lid Size Multi"
"GasOne","B-5450+50480","Black",,,
"CYTBP",,,,,"Folding Charcoal Barbecue Grill BBQ Portable Outdoor Stainless Steel Tabletop for Picnic Garden Camping Trip"
"Kenmore","PG-40409S0LB-AM","Black",,,"Kenmore 4 Burner Outdoor Patio Gas BBQ Grill"
"Z GRILLS",,"450A Pro",,,"Z GRILLS Wood Pellet Grill and Smoker with"
"Goplus",,"Black",,,
"Mepple","MPB3001","Sliver",,,
"Blaze Outdoor Products","BLZ-SB2LTE-NG","Stainless Steel",,,
"Pomobie",,"red",,,
"HTTMT",,"TableTop BARBECUE GRILL",,,
"Char-Broil","465133010","Black",,,
"HAPPYGRILL",,"Black",,,
"Best Choice Products",,"Black",,,
"Grilla Grills",,,,,
"Guide Gear",,"Charcoal",,,
"Expert Grill",,,,,
"Traeger","BAC533","BBQ Pig Tail",,,
